,T-116,T-115,T-114,T-113,T-112,T-111,T-110,T-109,T-108,T-107,T-106,T-105,T-104,T-103,T-102,T-101,T-100,T-99,T-98,T-97,T-96,T-95,T-94,T-93,T-92,T-91,T-90,T-89,T-88,T-87,T-86,T-85,T-84,T-83,T-82,T-81,T-80,T-79,T-78,T-77,T-76,T-75,T-74,T-73,T-72,T-71,T-70,T-69,T-68,T-67,T-66,T-65,T-64,T-63,T-62,T-61,T-60,T-59,T-58,T-57,T-56,T-55,T-54,T-53,T-52,T-51,T-50,T-49,T-48,T-47,T-46,T-45,T-44,T-43,T-42,T-41,T-40,T-39,T-38,T-37,T-36,T-35,T-34,T-33,T-32,T-31,T-30,T-29,T-28,T-27,T-26,T-25,T-24,T-23,T-22,T-21,T-20,T-19,T-18,T-17,T-16,T-15,T-14,T-13,T-12,T-11,T-10,T-9,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1
eGFR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8103032e-06,6.6541534e-06,1.575687e-06,8.1616935e-07,2.1887216e-07,1.0416863e-07,5.9744124e-08,1.0964804e-08,3.029923e-08,7.34244e-08,1.034041e-07,1.5668714e-07,2.938811e-07,3.4373605e-07,3.7312347e-07,3.3850253e-07,2.495375e-07,1.7482898e-07,7.791366e-08,4.457058e-08,1.8280307e-08,6.85795e-08,5.6515187e-08,1.0212559e-07,9.161624e-06,1.3244541e-05,5.4145303e-06,1.9378202e-05,1.1540874e-05,6.221314e-06,1.15096245e-05,6.3647335e-06,4.2310126e-06,1.8352599e-06,2.0636523e-06,1.2559182e-05,1.0903373e-05,7.6667515e-05,2.8040286e-05,0.00097015366,0.13445908,0.17585695,0.15918042,0.3720698,0.30510175,0.68674415
Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8046152e-06,6.7872124e-06,2.5521451e-06,1.3350186e-06,6.179665e-07,3.9086382e-07,2.6559812e-07,1.3559628e-07,3.510139e-08,5.495626e-08,1.2063481e-07,2.1559258e-07,3.6534223e-07,4.002855e-07,4.0291653e-07,3.240482e-07,2.179515e-07,1.3807957e-07,3.225155e-08,1.8662694e-09,6.0952566e-08,1.2065416e-07,8.8907875e-08,1.4322069e-07,9.923073e-06,1.3688459e-05,6.4194546e-06,1.36849885e-05,1.03994635e-05,5.315584e-06,1.4221206e-05,7.051061e-06,5.0154576e-06,2.2965937e-06,2.7230221e-06,1.586804e-05,1.4492316e-05,7.665847e-05,2.9587118e-05,0.0011930543,0.15355004,0.22905573,0.20638314,0.5086121,0.44171,1.0
Systolic BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1785383e-07,3.2606178e-07,1.09188115e-07,5.0434746e-08,6.782595e-09,6.07009e-09,4.6500506e-09,3.4681213e-09,3.258945e-09,3.9644856e-09,4.945384e-09,3.0548413e-09,1.4987489e-08,1.1071873e-08,1.0933198e-08,1.6096756e-08,1.591998e-08,1.3730951e-08,1.1349612e-08,1.0311569e-08,9.181148e-09,7.9529645e-09,5.8029297e-09,5.5838982e-09,2.1681086e-07,2.707985e-07,1.3418925e-07,1.4415507e-06,1.9441035e-07,2.1797781e-07,1.6600524e-07,1.4843285e-07,1.192038e-07,2.4243087e-07,1.3142625e-07,1.8120579e-07,1.554737e-07,2.064922e-06,1.615195e-06,1.3466175e-05,0.0013300467,0.0047237054,0.0034372823,0.0080898395,0.0102909645,0.014026676
Diastolic BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2173804e-07,2.6154717e-07,1.6764206e-07,6.674292e-08,4.5963837e-08,3.113417e-08,1.8139998e-08,6.6042305e-09,1.4775804e-09,7.0548167e-09,1.0576974e-08,1.9278241e-08,1.8663021e-08,2.8338834e-08,3.1515672e-08,2.6552977e-08,1.9647652e-08,1.1477767e-08,3.8001544e-09,3.1218175e-10,5.5643468e-09,9.599116e-09,9.489903e-09,1.4927759e-08,1.3044242e-06,1.2003654e-06,7.001575e-07,1.9219865e-06,7.4353125e-07,4.6136867e-07,1.9488233e-07,1.619017e-07,2.271656e-07,1.1546811e-07,2.0990787e-07,3.2537142e-07,3.064251e-07,2.7998556e-06,2.3113832e-06,4.4953373e-05,0.0031683575,0.004138738,0.003513357,0.0060157734,0.0056644785,0.007730271
HbA1c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.085269e-07,2.2463351e-07,2.7843894e-08,3.330077e-08,1.1826947e-08,8.164085e-09,5.266324e-09,2.9703298e-09,1.4786269e-09,1.1869576e-09,3.1741845e-10,3.811291e-09,1.7868392e-09,4.279177e-09,5.8905374e-09,2.7286136e-09,6.969002e-09,8.661004e-09,9.837173e-09,1.0572222e-08,7.089118e-09,1.0146019e-08,5.024724e-09,5.7113283e-09,7.036526e-07,1.87826e-07,3.714719e-07,7.71798e-07,4.1654192e-07,3.3233187e-07,3.0217817e-07,1.8104888e-07,1.7966329e-07,1.4082157e-07,2.2628376e-07,1.4356092e-07,2.0748149e-07,1.9210374e-06,2.4896183e-06,2.258977e-05,0.00058109366,0.002998858,0.0030444067,0.0069667157,0.009498807,0.008058999
Hemoglobin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3110684e-08,9.047548e-08,1.0951492e-07,3.0444834e-08,8.1981835e-09,7.2661447e-12,8.1976687e-10,7.2256126e-09,9.126654e-09,1.0421888e-08,1.0101206e-08,1.3778874e-08,1.20310215e-08,1.9103583e-08,2.3894598e-08,1.7666158e-08,1.4054038e-08,1.5247158e-08,1.4177997e-08,1.403374e-08,1.3602362e-08,7.761517e-09,1.2083133e-08,6.2475842e-09,1.5313311e-06,7.5937595e-07,6.996069e-07,2.3856978e-06,1.1554738e-06,1.1147746e-06,4.2536323e-07,2.5501475e-07,2.2668814e-07,1.162848e-07,1.11298434e-07,2.5915233e-07,3.0369824e-07,6.1054916e-06,4.6618334e-06,6.635472e-05,0.0026814153,0.005322184,0.0033438026,0.0039270422,0.0041896924,0.0044585266
Age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8043552e-07,8.161292e-09,1.1862446e-08,7.302129e-08,1.3474262e-08,4.5974526e-09,4.0245784e-09,3.6027228e-09,4.784332e-09,4.46552e-09,2.7619775e-09,1.0241802e-09,1.6016092e-08,1.0370374e-08,6.3606045e-09,7.3559643e-09,7.958516e-09,8.76861e-09,8.2756575e-09,8.799404e-09,9.595285e-09,9.831766e-09,9.005195e-09,7.723811e-09,1.3658702e-06,9.710008e-07,3.9822663e-07,3.7208872e-06,1.1930979e-06,5.9082777e-07,2.8152172e-07,2.4405594e-07,3.025211e-07,3.932666e-07,1.8051132e-07,3.5197505e-07,2.944727e-07,6.8442187e-06,5.848458e-06,9.408833e-05,0.001602379,0.004862305,0.006629107,0.010145368,0.013750988,0.015763309
Gender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7753016e-08,2.81695e-08,9.7642435e-08,7.805808e-08,7.2109884e-08,5.8089018e-08,4.64647e-08,3.3801093e-08,2.0837172e-08,1.1070695e-08,2.7271883e-09,5.7331393e-09,6.0694485e-09,1.4242518e-08,1.2812782e-08,9.913511e-09,6.635423e-09,4.468359e-09,2.5153695e-09,2.5592455e-09,3.2637888e-09,5.5627773e-09,7.17038e-09,7.1186883e-09,3.4051325e-07,5.934177e-08,1.5421188e-07,3.9753172e-07,3.0472762e-07,1.6964574e-07,4.378154e-08,7.687631e-08,1.0961337e-07,9.0774535e-08,1.2198022e-07,1.3427254e-07,1.4571535e-07,5.648234e-07,3.942253e-07,9.90812e-06,0.0012549689,0.0016782382,0.0016409816,0.0024520373,0.00217711,0.0032912162
TII_eGFR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.356127e-06,1.567706e-06,5.2366755e-07,2.636019e-07,5.230426e-08,4.3067033e-08,2.3431863e-08,9.604306e-09,1.6229833e-09,1.1421216e-08,3.098681e-08,6.040488e-08,1.2014993e-07,1.1438152e-07,1.0580481e-07,6.778228e-08,2.8174776e-08,4.4559627e-09,2.5082025e-08,2.6617306e-08,4.048785e-08,3.4300466e-08,3.316997e-08,1.9839838e-08,4.1557496e-06,6.752535e-07,4.977577e-08,1.3574678e-05,7.528241e-06,3.6860756e-06,2.7810688e-06,2.0095663e-06,1.383633e-06,7.975245e-07,8.643004e-07,2.6599018e-06,1.2858474e-06,2.86331e-05,1.8294799e-05,0.00071675796,0.04086614,0.06436024,0.04173396,0.068216614,0.056096908,0.09466862
TII_Creatinine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0968648e-06,5.248032e-07,1.899591e-07,1.385968e-07,5.90083e-08,9.609106e-08,7.384921e-08,6.386255e-08,5.209836e-08,4.4035982e-08,3.7089467e-08,2.4480624e-08,2.5859565e-08,3.643141e-08,4.475503e-08,4.682293e-08,3.994291e-08,4.605858e-08,3.8973862e-08,3.2607975e-08,4.2366853e-08,2.0909782e-08,2.2962837e-08,1.979439e-08,5.081842e-06,1.6824173e-06,2.3437629e-07,2.5732807e-06,7.453149e-07,4.6502083e-07,3.845383e-07,2.4208632e-07,4.4733878e-07,1.7099634e-07,2.7351908e-07,1.0828599e-06,5.1658617e-07,8.513421e-06,2.824991e-06,0.0005309212,0.008015971,0.016102618,0.018056089,0.027410889,0.026527736,0.045357924
